"gender","age","race","samerace","field","interests_correlate","met","decision","match","guess_prob_liked","like","expected_happy_with_sd_people","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","importance_same_race","importance_same_religion","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important"
"female",24,"European/Caucasian-American",0,"law",0.1,0,0,0,7.3,6.4,4,6.625,4.375,10,7.42857142857143,2.125,5.5,8.2,9.1,6.4,3.7,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",-0.21,0,1,1,8.2,7.3,4,6.625,4.375,10,7.42857142857143,2.125,7.3,9.1,7.3,6.4,5.5,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",0,"law",0.32,1,0,0,6.4,8.2,4,6.625,4.375,10,7.42857142857143,2.125,6.4,8.2,7.3,9.1,7.3,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",0.73,0,0,0,5.5,6.4,4,6.625,4.375,10,7.42857142857143,2.125,8.2,7.3,8.2,3.7,6.4,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",0.6,0,1,0,7.3,8.2,4,6.625,4.375,10,7.42857142857143,2.125,7.3,5.5,9.1,6.4,7.3,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",0.07,0,0,0,6.4,5.5,4,6.625,4.375,10,7.42857142857143,2.125,5.5,8.2,7.3,5.5,9.1,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",0.11,0,1,1,6.4,5.5,4,6.625,4.375,10,7.42857142857143,2.125,7.3,6.4,8.2,9.1,4.6,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",24,"European/Caucasian-American",1,"law",0.39,0,1,0,7.3,8.2,4,6.625,4.375,10,7.42857142857143,2.125,6.4,7.3,8.2,7.3,9.1,3,2,7,10,8,6,3.7,4.21428571428571,8,7.75,1,9,7.75,7,8,3,1.9,2.8,5,5.05,1.95744680851064,5.5,4.6,1,2.5
"female",25,"European/Caucasian-American",1,"Economics",-0.24,1,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,7.3,9.1,10,7.3,8.2,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",1,"Economics",-0.14,0,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,9.1,7.3,9.1,8.2,9.1,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",0,"Economics",0.09,0,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,7.3,9.1,9.1,7.3,9.1,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",1,"Economics",-0.04,0,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,9.1,7.3,9.1,7.3,9.1,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",1,"Economics",-0.26,0,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,8.2,9.1,10,7.3,7.3,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",1,"Economics",0.29,0,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,7.3,9.1,9.1,8.2,9.1,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",1,"Economics",-0.15,0,0,0,7.3,9.1,4,7.75,8.875,7.75,8.71428571428571,7.75,9.1,9.1,9.1,9.1,9.1,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",25,"European/Caucasian-American",1,"Economics",-0.47,0,0,0,7.3,8.2,4,7.75,8.875,7.75,8.71428571428571,7.75,8.2,7.3,9.1,7.3,9.1,3,8,7,8,5,5,8.2,3.57142857142857,5,5.5,8,7,6.625,7,5,8,7.3,8.2,4,4.15,2.91489361702128,7.3,2.8,2.69811320754717,1
"female",23,"European/Caucasian-American",1,"Law",-0.18,0,0,0,7.3,6.4,1,6.625,7.75,8.875,6.14285714285714,7.75,4.6,10,8.2,5.5,8.2,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",-0.18,1,0,0,1.9,8.2,1,6.625,7.75,8.875,6.14285714285714,7.75,8.2,7.3,8.2,10,7.3,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",0,"Law",0.05,0,0,0,1.9,4.6,1,6.625,7.75,8.875,6.14285714285714,7.75,4.6,7.3,8.2,8.2,6.4,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",-0.18,1,1,1,10,8.2,1,6.625,7.75,8.875,6.14285714285714,7.75,8.2,10,7.3,10,7.3,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",0,"Law",0.21,0,0,0,7.3,7.3,1,6.625,7.75,8.875,6.14285714285714,7.75,6.4,9.1,8.2,9.1,8.2,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",0.37,0,0,0,3.7,4.6,1,6.625,7.75,8.875,6.14285714285714,7.75,5.5,10,8.2,4.6,8.2,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",0.35,0,0,0,1.9,5.5,1,6.625,7.75,8.875,6.14285714285714,7.75,7.3,10,10,7.3,10,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",0.15,0,0,0,6.4,6.4,1,6.625,7.75,8.875,6.14285714285714,7.75,5.5,9.1,9.1,5.5,9.1,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",-0.47,0,1,1,8.2,8.2,1,6.625,7.75,8.875,6.14285714285714,7.75,9.1,8.2,10,10,7.3,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",23,"European/Caucasian-American",1,"Law",-0.19,0,1,0,8.2,10,1,6.625,7.75,8.875,6.14285714285714,7.75,8.2,9.1,10,10,8.2,1,1,6,7,6,7,7.3,4.21428571428571,7,5.5,7,9,6.625,8,7,1,8.2,1.9,1,2.8,4.82978723404255,4.6,4.6,2.69811320754717,4
"female",21,"European/Caucasian-American",1,"Law",-0.43,0,0,0,5.5,7.3,7,5.5,2.125,5.5,10,7.75,5.5,8.2,8.2,2.8,2.8,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",0,1,0,0,4.6,6.4,7,5.5,2.125,5.5,10,7.75,8.2,6.4,6.4,5.5,5.5,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",0,"Law",-0.17,1,0,0,5.5,6.4,7,5.5,2.125,5.5,10,7.75,4.6,6.4,8.2,8.2,6.4,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",0.08,1,1,1,2.8,8.2,7,5.5,2.125,5.5,10,7.75,8.2,5.5,5.5,7.3,7.3,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",0,"Law",-0.16,0,0,0,4.6,7.3,7,5.5,2.125,5.5,10,7.75,6.4,7.3,7.3,5.5,4.6,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",0.06,0,1,0,3.7,7.3,7,5.5,2.125,5.5,10,7.75,5.5,6.4,7.3,5.5,7.3,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",-0.05,0,1,0,3.7,6.4,7,5.5,2.125,5.5,10,7.75,6.4,6.4,8.2,5.5,5.5,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",0.07,0,1,0,4.6,6.4,7,5.5,2.125,5.5,10,7.75,5.5,5.5,7.3,6.4,7.3,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",-0.13,0,1,1,4.6,9.1,7,5.5,2.125,5.5,10,7.75,7.3,5.5,7.3,8.2,7.3,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",21,"European/Caucasian-American",1,"Law",-0.06,0,1,0,3.7,10,7,5.5,2.125,5.5,10,7.75,9.1,6.4,7.3,9.1,6.4,7,4,7,7,6,8,6.4,4.85714285714286,8,4.75,8,6,5.5,3,7,8,3.7,8.2,1,2.8,1.95744680851064,5.5,5.5,2.69811320754717,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.33,0,1,0,6.4,6.4,4,4.375,6.625,7.75,8.71428571428571,4.375,6.4,9.1,7.3,6.4,7.3,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.37,0,1,0,6.4,7.3,4,4.375,6.625,7.75,8.71428571428571,4.375,6.4,9.1,9.1,6.4,8.2,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",1,"law",-0.51,1,0,0,2.8,6.4,4,4.375,6.625,7.75,8.71428571428571,4.375,4.6,7.3,9.1,4.6,3.7,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.12,0,1,1,4.6,9.1,4,4.375,6.625,7.75,8.71428571428571,4.375,8.2,6.4,7.3,8.2,2.8,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.35,1,0,0,3.7,4.6,4,4.375,6.625,7.75,8.71428571428571,4.375,5.5,4.6,8.2,8.2,4.6,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.19,0,0,0,2.8,2.8,4,4.375,6.625,7.75,8.71428571428571,4.375,3.7,7.3,6.4,1.9,1.9,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.47,0,1,0,7.3,8.2,4,4.375,6.625,7.75,8.71428571428571,4.375,8.2,8.2,8.2,8.2,3.7,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.03,0,0,0,5.5,5.5,4,4.375,6.625,7.75,8.71428571428571,4.375,4.6,8.2,9.1,2.8,8.2,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.46,0,1,1,6.4,9.1,4,4.375,6.625,7.75,8.71428571428571,4.375,7.3,6.4,8.2,8.2,6.4,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",23,"Asian/Pacific Islander/Asian-American",0,"law",0.43,0,1,0,8.2,9.1,4,4.375,6.625,7.75,8.71428571428571,4.375,8.2,9.1,9.1,9.1,10,10,8,9,7,8,7,9.1,2.28571428571429,6,7,2,5,5.5,6,4,1,1.9,1.9,1,1.9,5.78723404255319,4.6,5.5,1.84905660377358,5.5
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",0.19,0,0,0,4.6,7.3,7,5.5,5.5,4.375,6.14285714285714,6.625,4.6,8.2,8.2,5.5,7.3,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",0.21,1,0,0,3.7,7.3,7,5.5,5.5,4.375,6.14285714285714,6.625,6.4,6.4,8.2,4.6,9.1,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",1,"Law",0.52,1,0,0,8.2,7.3,7,5.5,5.5,4.375,6.14285714285714,6.625,3.7,6.4,8.2,7.3,8.2,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",-0.46,1,1,1,6.4,8.2,7,5.5,5.5,4.375,6.14285714285714,6.625,7.3,8.2,8.2,7.3,7.3,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",-0.27,1,0,0,6.4,5.5,7,5.5,5.5,4.375,6.14285714285714,6.625,4.6,7.3,7.3,4.6,8.2,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",0.59,0,0,0,5.5,5.5,7,5.5,5.5,4.375,6.14285714285714,6.625,4.6,8.2,7.3,4.6,5.5,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",0.31,0,1,0,7.3,8.2,7,5.5,5.5,4.375,6.14285714285714,6.625,7.3,7.3,8.2,7.3,7.3,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",0.08,0,0,0,7.3,5.5,7,5.5,5.5,4.375,6.14285714285714,6.625,5.5,7.3,8.2,5.5,9.1,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",-0.34,0,1,1,6.4,6.4,7,5.5,5.5,4.375,6.14285714285714,6.625,6.4,6.4,8.2,8.2,8.2,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",22,"Asian/Pacific Islander/Asian-American",0,"Law",-0.16,0,1,0,5.5,7.3,7,5.5,5.5,4.375,6.14285714285714,6.625,8.2,6.4,7.3,7.3,8.2,5,3,4,10,10,10,2.8,2.92857142857143,8,6.25,8,10,10,10,10,10,10,2.8,4,2.35,3.87234042553191,5.5,4.6,3.54716981132075,4
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",-0.03,0,1,0,5.5,4.6,6,6.625,3.25,7.75,7.42857142857143,7.75,5.5,8.2,7.3,4.6,7.3,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",-0.11,0,1,1,7.3,8.2,6,6.625,3.25,7.75,7.42857142857143,7.75,8.2,7.3,7.3,9.1,6.4,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",0,"Masters in Public Administration",0.42,0,1,1,5.5,5.5,6,6.625,3.25,7.75,7.42857142857143,7.75,5.5,8.2,8.2,6.4,7.3,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",-0.4,0,1,1,6.4,5.5,6,6.625,3.25,7.75,7.42857142857143,7.75,8.2,6.4,5.5,6.4,6.4,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",0,"Masters in Public Administration",-0.23,0,1,1,5.5,6.4,6,6.625,3.25,7.75,7.42857142857143,7.75,6.4,8.2,8.2,5.5,6.4,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",0.28,0,1,1,5.5,6.4,6,6.625,3.25,7.75,7.42857142857143,7.75,6.4,8.2,8.2,5.5,6.4,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",0.05,0,1,0,6.4,6.4,6,6.625,3.25,7.75,7.42857142857143,7.75,6.4,7.3,8.2,5.5,7.3,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",0.17,0,1,1,4.6,5.5,6,6.625,3.25,7.75,7.42857142857143,7.75,5.5,6.4,7.3,4.6,5.5,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",-0.47,0,1,1,10,7.3,6,6.625,3.25,7.75,7.42857142857143,7.75,8.2,8.2,5.5,9.1,8.2,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",25,"European/Caucasian-American",1,"Masters in Public Administration",-0.21,0,1,1,7.3,8.2,6,6.625,3.25,7.75,7.42857142857143,7.75,7.3,6.4,8.2,7.3,9.1,2,2,1,10,9,9,3.7,2.28571428571429,10,6.25,10,9,8.875,6,6,8,6.4,1.9,1,1.8181,4.48127659574468,5.9086,4.2724,4.08716981132075,3.727
"female",26,"Other",0,"Masters in Public Administration",0.19,0,1,0,5.5,5.5,6,6.625,5.5,10,6.14285714285714,6.625,8.2,10,9.1,8.2,7.3,4,3,1,8,6,7,2.8,2.28571428571429,10,6.25,8,10,10,9,9,8,3.7,1.9,1,2.8,2.91489361702128,4.6,6.4,2.69811320754717,4
"female",26,"Other",0,"Masters in Public Administration",0.03,0,1,1,5.5,10,6,6.625,5.5,10,6.14285714285714,6.625,10,10,10,10,10,4,3,1,8,6,7,2.8,2.28571428571429,10,6.25,8,10,10,9,9,8,3.7,1.9,1,2.8,2.91489361702128,4.6,6.4,2.69811320754717,4
