"has_null","wave","gender","age","race","samerace","importance_same_race","importance_same_religion","field","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","interests_correlate","expected_happy_with_sd_people","like","guess_prob_liked","met","decision","match"
0,1,"female",22,"Asian/Pacific Islander/Asian-American",0,2,4,"Law",15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.16,7,7,5,0,1,0
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,7,4,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.03,6,4,5,0,1,0
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,7,7,9,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.11,6,8,7,0,1,1
1,1,"female",25,"European/Caucasian-American",0,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,8,8,6,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.42,6,5,5,0,1,1
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,6,5,6,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.4,6,5,6,0,1,1
1,1,"female",25,"European/Caucasian-American",0,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.23,6,6,5,0,1,1
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,8,8,5,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.28,6,6,5,0,1,1
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,6,7,8,5,7,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.05,6,6,6,0,1,0
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,5,6,7,4,5,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,0.17,6,5,4,0,1,1
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,8,8,5,9,8,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.47,6,7,10,0,1,1
1,1,"female",25,"European/Caucasian-American",1,1,1,"Masters in Public Administration",9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8,7,6,8,7,9,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,-0.21,6,8,7,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.19,6,5,5,0,1,0
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,6,10,5,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,6,8,5,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,6,7,5,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.01,6,5,5,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.42,6,6,5,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.21,6,7,5,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.1,6,7,5,0,1,0
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.35,6,7,6,0,1,1
0,1,"female",26,"Other",0,1,1,"Masters in Public Administration",20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.23,6,8,5,0,1,0
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,6,10,10,6,6,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.3,7,6,3,0,0,0
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,1,1,1,1,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.65,7,1,1,1,0,0
1,1,"female",26,"European/Caucasian-American",0,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,6,10,10,10,6,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,-0.15,7,7,6,0,1,1
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,10,10,10,10,10,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.17,7,10,1,1,0,0
1,1,"female",26,"European/Caucasian-American",0,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,5,7,7,7,7,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.24,7,6,1,0,0,0
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,5,10,6,4,6,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.15,7,6,1,0,0,0
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,5,10,8,6,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.41,7,7,1,0,1,0
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,5,6,6,4,5,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.07,7,5,5,0,0,0
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,9,9,9,9,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.49,7,9,9,0,1,1
1,1,"female",26,"European/Caucasian-American",1,4,4,"Masters of Social Work&Education",15,15,15,40,10,5,6,8,10,6,9,9,9,8,10,8,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,0.08,7,9,10,0,1,0
0,1,"male",27,"European/Caucasian-American",0,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,8,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.14,7,7,4,0,0,0
0,1,"male",27,"European/Caucasian-American",1,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,8,7,6,9,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.29,7,7,2,0,0,0
0,1,"male",27,"European/Caucasian-American",1,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,7,8,6,5,8,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.24,7,5,2,1,0,0
0,1,"male",27,"European/Caucasian-American",1,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,6,7,8,7,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.18,7,6,3,0,0,0
0,1,"male",27,"European/Caucasian-American",1,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.43,7,6,5,0,0,0
0,1,"male",27,"European/Caucasian-American",0,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,7,9,8,9,8,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.33,7,7,4,0,0,0
0,1,"male",27,"European/Caucasian-American",0,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,7,8,8,8,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.19,7,7,4,0,0,0
0,1,"male",27,"European/Caucasian-American",1,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,8,7,6,6,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.03,7,7,4,0,0,0
0,1,"male",27,"European/Caucasian-American",0,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,6,8,7,8,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.19,7,6,4,0,0,0
1,1,"male",27,"European/Caucasian-American",1,7,3,"Finance",35,20,20,20,0,5,8,9,7,8,5,7,8,7,8,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.3,7,6,3,0,0,0
0,1,"male",22,"European/Caucasian-American",0,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,7,8,10,7,7,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.54,7,8,4,0,0,0
0,1,"male",22,"European/Caucasian-American",1,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,7,6,10,6,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.18,7,8,4,0,0,0
0,1,"male",22,"European/Caucasian-American",1,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,6,7,10,6,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,-0.14,7,7,3,0,0,0
0,1,"male",22,"European/Caucasian-American",1,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,6,5,10,6,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,-0.18,7,6,3,1,0,0
0,1,"male",22,"European/Caucasian-American",1,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,6,7,10,7,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0,7,7,4,1,0,0
0,1,"male",22,"European/Caucasian-American",0,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,6,8,10,6,7,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.37,7,7,4,0,0,0
0,1,"male",22,"European/Caucasian-American",0,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,7,9,10,6,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.21,7,8,4,1,1,0
0,1,"male",22,"European/Caucasian-American",1,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,-0.11,7,9,4,0,1,1
0,1,"male",22,"European/Caucasian-American",0,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.03,7,8,4,0,1,1
1,1,"male",22,"European/Caucasian-American",1,1,1,"Law",60,0,0,40,0,0,9,9,9,10,9,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.65,7,1,1,0,0,0
